,Text,Emotion
4430,Lil reminder that my private account is a delight of shittalking and occasionally NSFW stuff! @AngryArchosaur,joy
3367,"If purging was real, Kenya would be the country where the elite purge from choppers while the low-class cower under their beds for 12 hours",fear
5586,Mmmm #coffee and a good #book on a dreary day! Who can beat that?,sadness
4317,#LethalWeapon A suicidal Vet with PTSD... so FUCKING FUNNY.... let the hilarity begin...,joy
1305,@donlemon listening to these politicians is making me so #angry I'm so fucking tired of political speak by career politicians @PatMcCroryNC,anger
9197,Getting out of the car park could take longer  than the Jimmy Carr show ran #nightmare,fear
10373,'Too often we give children answers to remember rather than problems to solve' Roger Lewin Terrific :) Tuesday,joy
9898,@rhyshenllan @disabledsg yes I like the idea of it . Waiting for details 😀,joy
1733,♪OLD FISH ,fear
10488,@MarcMero Happy Aniversary to you both! Hope you have a wonderful day!,joy
387,@TDsNation i watch all your videos but i like madden better!,anger
2136,"can only blame Jose ere why would you give Rojo another start after Sunday , fucking disaster waiting to happen &amp; it did shocking header !",fear
8471,idk if i should be angry or happy that a local &amp; trusted online shop i've been following since 2015 is already doing wanna one g/o's KJDSAHK,anger
747,@DepressedStride &gt; huff louder,anger
4554,@R1Breakfast Totes had to re-listen to the endless hilarity that was Tom Odell's 'raaar' this morning 😂😂😂 @grimmers @fionaradio @TinaDaheley,joy
6975,@elegantlywasted @ChelseaClinton Are they the new kennedy's of American politics.. sadly both mom and daughter are as charming as a toe nail,anger
6121,Thought I had a pretty solid GPA as a kin major and now that I look at the average for dpt programs I feel even more discouraged 😪,sadness
4011,@govph I would like to know about the source of The President's optimism about running the country. I wonder if he can answer my curiosity.,joy
1263,"@BosNaud so scared to ruffle feathers, he resorted to writing in cryptic code. #UncleCamsCabin",anger
1086,@jamielamieee @gerbicapiral_ @Dory then I look at you and we burst out laughing,anger
2117,"@Ms_Asia_Pacific @jgsuing @PilosopoTanya @HuffingtonPost @HuffPostPol as a fellow UP grad, i shiver at the shallowness of his arguments",fear
4036,tweet tweet chirp chirp losers,joy
8684,@__iammike pecks your pout before waddling to the kitchen.,anger
8869,"'She trapped me, but I love her' #insecure #killingme @insecurehbo",fear
8955,@NicolleDWallace @jheil @DonnyDeutsch He's spot on #terrifying,fear
5758,It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable #unhappy,sadness
1861,"@Gen_Ironicus Musicians have a superstitious dread of crossing highway 69, true story",fear
1415,Stop tracking back you fucking potato faced cunt errrr infuriating 😠😠😠😠😠 #angry #Rooney #mufc,anger
8673,Everytime I see Kirks face I get angry #LHHReunion,anger
6660,"MC: what are you listen to these days?\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\n\nChurch oppa mode. :)",sadness
